sample,millis,lux,temp_F,humidity_pct
1,1002,142.3,72.41,48.2
2,2004,139.8,72.43,48.1
3,3006,145.1,72.45,48.3
4,4008,148.6,72.46,48.2
5,5010,152.4,72.5,48.0
6,6012,155.9,72.52,47.9
7,7014,160.2,72.55,47.8
8,8016,158.7,72.57,47.9
9,9018,163.4,72.59,47.7
10,10020,170.1,72.63,47.6
11,11022,175.3,72.64,47.5
12,12024,180.6,72.68,47.4
13,13026,178.2,72.7,47.6
14,14028,182.9,72.73,47.5
15,15030,190.4,72.75,47.3
16,16032,195.7,72.77,47.2
17,17034,201.3,72.81,47.1
18,18036,198.8,72.82,47.2
19,19038,205.6,72.86,47.0
20,20040,210.2,72.88,46.9
21,21042,38.4,72.9,46.8
22,22044,12.1,72.91,46.9
23,23046,8.7,72.93,47.0
24,24048,6.2,72.95,47.1
25,25050,9.4,72.97,47.0
26,26052,14.8,72.99,46.9
27,27054,22.3,73,46.8
28,28056,198.5,73.02,46.7
29,29058,212.4,73.04,46.6
30,30060,220.1,73.06,46.5
31,31062,225.8,73.09,46.4
32,32064,230.4,73.11,46.3
33,33066,228.9,73.13,46.4
34,34068,235.2,73.15,46.3
35,35070,241.7,73.18,46.2
36,36072,238.3,73.2,46.1
37,37074,245.6,73.22,46.0
38,38076,252.1,73.26,45.9
39,39078,258.4,73.27,45.8
40,40080,255.9,73.29,45.9
41,41082,262.3,73.33,45.8
42,42084,268.7,73.35,45.7
43,43086,275.2,73.36,45.6
44,44088,272.8,73.4,45.7
45,45090,279.4,73.42,45.6
46,46092,285.9,73.44,45.5
47,47094,282.3,73.47,45.4
48,48096,289.1,73.49,45.3
49,49098,295.6,73.51,45.2
50,50100,302.4,73.54,45.1
51,51102,298.7,73.56,45.2
52,52104,305.3,73.58,45.1
53,53106,312.1,73.62,45.0
54,54108,318.6,73.63,44.9
55,55110,315.2,73.65,45.0
56,56112,322.4,73.69,44.9
57,57114,328.9,73.71,44.8
58,58116,325.3,73.72,44.7
59,59118,332.1,73.76,44.6
60,60120,338.6,73.78,44.5
61,61122,335.2,73.8,44.6
62,62124,342.4,73.83,66.2
63,63126,348.9,73.85,74.8
64,64128,345.3,73.87,81.3
65,65130,352.1,73.9,78.5
66,66132,355.6,73.92,72.1
67,67134,349.8,73.94,65.4
68,68136,356.4,73.98,60.2
69,69138,362.9,73.99,56.8
70,70140,359.3,74.01,53.4
71,71142,366.1,74.05,51.2
72,72144,372.6,74.07,49.8
73,73146,369.2,74.08,48.9
74,74148,376.4,74.12,48.3
75,75150,382.9,74.14,47.8
76,76152,379.3,74.16,47.4
77,77154,386.1,74.19,47.1
78,78156,392.6,74.21,46.8
79,79158,389.2,74.23,46.6
80,80160,396.4,74.26,46.4
81,81162,402.9,74.28,46.2
82,82164,399.3,74.3,46.1
83,83166,406.1,74.34,46.0
84,84168,412.6,74.35,45.9
85,85170,409.2,74.37,45.8
86,86172,416.4,74.41,45.7
87,87174,422.9,74.43,45.6
88,88176,419.3,74.44,45.7
89,89178,426.1,74.48,45.6
90,90180,432.6,74.5,45.5
91,91182,429.2,74.52,45.4
92,92184,436.4,74.55,45.3
93,93186,442.9,74.57,45.2
94,94188,439.3,74.59,45.1
95,95190,446.1,74.62,45.0
96,96192,452.6,74.64,44.9
97,97194,449.2,74.66,45.0
98,98196,456.4,74.7,44.9
99,99198,462.9,74.71,44.8
100,100200,459.3,74.73,44.7
101,101202,466.1,74.77,44.6
102,102204,472.6,74.79,44.5
103,103206,469.2,74.8,44.4
104,104208,476.4,74.84,44.3
105,105210,482.9,74.86,44.2
106,106212,479.3,74.88,44.1
107,107214,486.1,74.91,44.0
108,108216,492.6,74.93,43.9
109,109218,489.2,74.95,43.8
110,110220,496.4,74.98,43.7
111,111222,502.9,75,43.6
112,112224,499.3,75.02,43.5
113,113226,506.1,75.06,43.4
114,114228,512.6,75.07,43.3
115,115230,509.2,75.09,43.2
116,116232,516.4,75.13,43.1
117,117234,522.9,75.15,43.0
118,118236,519.3,75.16,43.1
119,119238,38.1,75.2,43.0
120,120240,11.4,75.22,42.9
121,121242,7.8,75.24,42.8
122,122244,9.2,75.25,42.7
123,123246,15.6,75.27,42.8
124,124248,28.4,75.29,42.9
125,125250,512.1,75.33,42.8
126,126252,518.6,75.34,42.7
127,127254,515.2,75.36,42.6
128,128256,522.4,75.4,42.5
129,129258,528.9,75.42,42.4
130,130260,525.3,75.43,42.3
131,131262,532.1,75.47,42.2
132,132264,538.6,75.49,42.1
133,133266,535.2,75.51,42.0
134,134268,542.4,75.54,41.9
135,135270,548.9,75.56,41.8
136,136272,545.3,75.58,41.7
137,137274,552.1,75.61,41.6
138,138276,558.6,75.63,41.5
139,139278,555.2,75.65,41.4
140,140280,562.4,75.69,41.3
141,141282,568.9,75.7,41.2
142,142284,565.3,75.72,41.1
143,143286,572.1,75.76,41.0
144,144288,578.6,75.78,40.9
145,145290,575.2,75.79,40.8
146,146292,582.4,75.83,40.7
147,147294,588.9,75.85,40.6
148,148296,585.3,75.87,40.5
149,149298,592.1,75.9,40.4
150,150300,598.6,75.92,40.3
